request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_55,115323.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,734.51,affordable_with_plan,partial_payment,2025-02-03:734.51|2025-02-15:147.05,2025-02-15,none,"Pay USD 734.51 today and the remaining USD 147.05 on 15 February 2025 to complete the USD 881.56 purchase, keeping your USD 2,100 minimum balance protected throughout."
request_57,15164.33,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,125463.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 July 2025. None of the available options keeps the INR 132,600 minimum protected."
request_60,165.15,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,52157.5,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 52,157.50 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,6718.43,not_affordable,not_recommended,none,,none,"The requested ZAR 54,340 cannot be paid by 25 November 2025 while keeping the required ZAR 15,500 minimum balance; only ZAR 6,718.43 is safely available today, so this payment is not recommended and no full-payment date is expected within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,314.63,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1346.25,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"To repay the USD 2,091.60 debt by 16 April 2025 while keeping at least USD 1,500 available, the plan splits payments into 3 installments of USD 725.09 each, starting 14 February 2025 and ending 11 April 2025."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50373.61,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,1490750.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,353.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,59777.9,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Pay INR 60,700 in full on 15 November 2025. Paying earlier would take the balance below the INR 82,200 minimum."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,429.84,not_affordable,not_recommended,none,,none,"The EUR 2,151.60 purchase requested on 4 September 2024 cannot proceed, since only EUR 429.84 can be safely paid today while keeping the EUR 1,000 minimum balance, and the full amount can't be completed safely within 90 days."
request_80,1479.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,381.76,affordable_later,wait,2024-12-15:1405.20,2024-12-15,none,"Pay USD 1,405.20 in full on 15 December 2024. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,29870.68,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400 in full on 15 May 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,370165.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10750.83,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9317887.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,121.15,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Since paying now would drop the balance below the required EUR 2,100 minimum, the plan is to wait and pay the full EUR 1,927.20 on 15 November 2024."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4925.72,not_affordable,not_recommended,none,,none,"The requested INR 553,000 education payment due 14 July 2025 is not affordable; paying it would breach the required INR 145,500 minimum balance, so no payment method or plan is recommended and only INR 4,925.72 is currently safe to pay."
request_96,72489.96,not_affordable,not_recommended,none,,none,"You can't afford the INR 90,200 purchase by 12 March 2026 without dipping below the required INR 56,500 minimum balance, so this payment is not recommended at this time."
request_97,1490.59,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,9881.99,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Your ZAR 27,148 travel request can't be paid today without dropping below the ZAR 30,000 minimum balance, so the plan is to wait and pay it in full on 15 September 2025."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,25122.8,not_affordable,not_recommended,none,,none,"The requested ZAR 37,114 purchase due by 16 August 2024 can't be made safely, since paying it would drop your balance below the required ZAR 32,500 minimum, so it is not recommended and no payment plan is available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,1807.47,not_affordable,not_recommended,none,,none,"The INR 368,300 travel request from 7 September 2024 isn't affordable by the 7 October 2024 deadline, since paying it would breach the required INR 125,500 minimum balance, so no payment method is recommended and no full-payment date is expected within 90 days."
request_104,6941.13,not_affordable,not_recommended,none,,none,"The requested purchase of ZAR 17,204 due by 15 April 2025 cannot be made because paying it would drop your balance below the required minimum of ZAR 24,700; only ZAR 6,941.13 is safe to use today, so no payment plan is recommended at this time."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,402,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Since paying the EUR 2,207.70 education request now would drop the balance below the required EUR 1,200 minimum, it's best to wait and pay it in full on 15 February 2025."
request_107,2415.88,not_affordable,not_recommended,none,,none,"The EUR 2,534.40 housing request due by 4 July 2025 cannot be paid without dropping below the required EUR 1,600 minimum balance, so payment is not recommended and no payment plan or full-payment date is available within 90 days."
request_108,3012.85,not_affordable,not_recommended,none,,none,"The requested ZAR 55,308 education payment due 26 July 2026 isn't affordable, since even paying only ZAR 3,012.85 today would risk dropping below the required ZAR 24,100 minimum balance, so no payment is recommended at this time."
request_109,658.32,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,28119.97,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,14840.35,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,9875.95,not_affordable,not_recommended,none,,none,"The requested family transfer of INR 241,200 by 16 April 2025 is not affordable, since paying it would drop your balance below the required INR 80,300 minimum; only INR 9,875.95 can safely be paid today, so no payment plan or full-payment date within 90 days is available."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,648.93,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,0,not_affordable,not_recommended,none,,none,"The requested INR 203,500 education payment due 17 July 2025 cannot be made because paying it would drop the balance below the required INR 151,200 minimum, so no amount is safe to pay today and the payment is not recommended."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,1401.89,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"The requested ZAR 23,980 family transfer due 18 October 2024 cannot be paid, as doing so would breach the required ZAR 41,000 minimum balance; no partial payment or payment plan is currently available."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,159.01,not_affordable,not_recommended,none,,none,"You cannot afford the USD 2,668.80 education payment due 18 June 2026; even paying USD 159.01 today would still risk your protected USD 800 minimum balance, so no payment method is recommended at this time."
request_130,360.6,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Because paying now would drop your balance below the USD 1,400 minimum you need to keep, this USD 1,978.80 family transfer is scheduled to be paid in full on 15 February 2025 instead."
request_131,1140.69,not_affordable,not_recommended,none,,none,"The USD 1,855.20 education payment due 8 July 2025 is not affordable right now, since paying it would drop you below the required USD 1,100 minimum balance, so no payment method is recommended at this time."
request_132,363.6,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,1292736.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4480330.89,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,528.35,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,25817.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 71,800 minimum protected."
request_138,864.63,affordable_with_plan,partial_payment,2026-04-07:864.63|2026-04-15:392.31,2026-04-15,none,"Pay EUR 864.63 today and the remaining EUR 392.31 on 15 April 2026 to fully cover the EUR 1,256.94 purchase while keeping your EUR 2,300 minimum balance intact."
request_139,1242.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,1348.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,26291.17,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 26,291.17 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2518.78,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"You can invest USD 233.34 today in full, since doing so still keeps at least USD 600 available over the next 90 days, no spending changes needed."
request_145,28296.96,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"To cover the INR 217,400 travel request by 26 May 2024 while keeping at least INR 155,400 in reserve, the plan splits payment into 3 installments of INR 75,365.33 each, starting 20 March 2024 and finishing 21 May 2024."
request_146,23027.08,not_affordable,not_recommended,none,,none,"Paying the INR 449,400 housing request by 17 October 2025 isn't recommended, since doing so would drop your balance below the required INR 108,600 minimum; only INR 23,027.08 can safely be paid today and no full-payment date is available within 90 days."
request_147,0,not_affordable,not_recommended,none,,none,"The EUR 1,129.70 travel request made on 5 April 2026 cannot be paid by the 7 June 2026 deadline, since doing so would breach the required EUR 900 minimum balance, so no payment or plan is recommended at this time."
request_148,7133.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 August 2024. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,22558.29,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,334.17,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11095.1,not_affordable,not_recommended,none,,none,"Paying the ZAR 13,882 emergency expense by 13 April 2025 isn't recommended, as no option lets you cover it while keeping the required ZAR 11,900 minimum balance protected."
request_153,124.78,not_affordable,not_recommended,none,,none,"The USD 2,830.80 purchase requested on 7 July 2026 isn't affordable by the 24 September 2026 deadline; only USD 124.78 can safely be paid today without dropping below the required USD 1,400 minimum balance, so payment is not recommended at this time."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,57949.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2025. None of the available options keeps the INR 56,300 minimum protected."
request_156,8800.7,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4753942.63,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,570.29,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,6812111.3,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,2424290.51,not_affordable,not_recommended,none,,none,"Paying the requested IDR 83,923,000 by 26 August 2026 isn't affordable, as no option keeps your required minimum balance of IDR 24,161,100 protected, so this payment is not recommended at this time."
request_163,8748126.43,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"To cover the IDR 19,304,000 request by the 15 November 2024 deadline while keeping at least IDR 26,728,700 in reserve, the plan uses 3 installments of IDR 6,692,053.33 starting 10 September 2024."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,39306.41,affordable_with_plan,partial_payment,2026-01-07:39306.41|2026-01-15:10073.59,2026-01-15,none,"Pay INR 39,306.41 today and the remaining INR 10,073.59 on 15 January 2026 to cover the full INR 49,380 housing request, while keeping your INR 114,400 minimum balance protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29936302.6,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,67.23,not_affordable,not_recommended,none,,none,"The requested investment of EUR 1,878.80 due by 10 September 2026 cannot be made, since only EUR 67.23 is safely available today and no plan within 90 days can fund it while keeping the required EUR 500 minimum balance intact."
request_172,9149.93,affordable_with_plan,partial_payment,2024-06-05:9149.93|2024-06-15:1050.07,2024-06-15,none,"Pay ZAR 9,149.93 today and the remaining ZAR 1,050.07 on 15 June 2024 to fully cover the ZAR 10,200 education request while keeping your ZAR 27,200 minimum balance protected."
request_173,61952.97,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,32.84,not_affordable,not_recommended,none,,none,"Since only EUR 32.84 can safely be paid today without dropping below the required EUR 600 minimum balance, the EUR 1,239.70 travel request due 27 February 2025 is not affordable and should not be paid by that deadline."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
